,customer_id,recency,frequency,monetary,r,f,m,rfm_segment,rfm_score
0,1000,35,5,53.8,4,3,2,432,9
1,1001,242,5,100.0,2,3,3,233,8
2,1002,122,4,70.3,3,2,2,322,7
3,1003,323,4,60.65,1,2,2,122,5
4,1004,28,8,204.96,4,4,4,444,12
5,1005,706,2,24.0,1,1,1,111,3
6,1006,199,4,182.94,2,2,4,224,8
7,1008,88,2,155.9,3,1,4,314,8
8,1009,86,4,48.75,3,2,2,322,7
9,1010,152,5,89.36,2,3,3,233,8
10,1011,21,3,89.8,4,2,3,423,9
11,1012,41,4,75.86,4,2,3,423,9
12,1013,89,8,186.75,3,4,4,344,11
13,1014,88,4,75.1,3,2,3,323,8
14,1015,240,3,71.4,2,2,2,222,6
15,1016,86,4,104.7,3,2,3,323,8
16,1017,91,5,75.49,3,3,3,333,9
17,1018,221,4,94.6,2,2,3,223,7
18,1019,385,1,73.5,1,1,2,112,4
19,1020,78,3,73.84,3,2,2,322,7
20,1021,53,3,53.4,4,2,2,422,8
21,1022,571,3,117.5,1,2,4,124,7
22,1023,185,6,182.0,2,4,4,244,10
23,1024,142,1,58.2,2,1,2,212,5
24,1025,133,3,42.62,3,2,1,321,6
25,1026,216,5,117.35,2,3,4,234,9
26,1027,227,4,129.7,2,2,4,224,8
27,1028,172,5,107.6,2,3,3,233,8
28,1029,291,1,16.35,1,1,1,111,3
29,1031,76,3,64.6,3,2,2,322,7
30,1032,129,5,96.46,3,3,3,333,9
31,1033,198,5,91.3,2,3,3,233,8
32,1034,596,3,83.05,1,2,3,123,6
33,1035,113,5,69.9,3,3,2,332,8
34,1036,709,1,10.8,1,1,1,111,3
35,1037,14,3,58.44,4,2,2,422,8
36,1038,16,6,214.2,4,4,4,444,12
37,1039,213,1,2.7,2,1,1,211,4
38,1040,34,4,48.1,4,2,2,422,8
39,1041,272,4,113.75,2,2,3,223,7
40,1042,75,3,35.75,3,2,1,321,6
41,1043,354,3,94.69,1,2,3,123,6
42,1044,66,2,25.4,3,1,1,311,5
43,1045,35,3,103.3,4,2,3,423,9
44,1046,189,2,16.7,2,1,1,211,4
45,1047,143,3,51.6,2,2,2,222,6
46,1048,73,2,23.8,3,1,1,311,5
47,1049,116,4,62.3,3,2,2,322,7
48,1050,240,6,124.6,2,4,4,244,10
49,1051,50,6,207.36,4,4,4,444,12
50,1052,64,10,271.9,3,4,4,344,11
51,1053,174,6,80.7,2,4,3,243,9
52,1054,70,4,43.9,3,2,2,322,7
53,1055,219,2,75.7,2,1,3,213,6
54,1056,51,3,58.2,4,2,2,422,8
55,1057,570,3,32.15,1,2,1,121,4
56,1058,50,4,38.9,4,2,1,421,7
57,1059,564,2,16.8,1,1,1,111,3
58,1061,116,5,149.1,3,3,4,334,10
59,1062,103,5,129.32,3,3,4,334,10
60,1063,341,2,8.1,1,1,1,111,3
61,1064,158,3,59.1,2,2,2,222,6
62,1065,47,6,225.4,4,4,4,444,12
63,1066,566,3,19.92,1,2,1,121,4
64,1067,163,3,112.3,2,2,3,223,7
65,1068,182,2,20.7,2,1,1,211,4
66,1069,132,4,90.45,3,2,3,323,8
67,1070,420,2,66.4,1,1,2,112,4
68,1071,460,1,17.1,1,1,1,111,3
69,1072,68,2,50.7,3,1,2,312,6
70,1073,27,4,109.8,4,2,3,423,9
71,1074,75,5,71.96,3,3,2,332,8
72,1075,41,4,80.3,4,2,3,423,9
73,1076,77,4,87.9,3,2,3,323,8
